model,attr,metric,value
logreg,sex,dp_diff,0.1908
logreg,sex,tpr_gap,0.1406
logreg,sex,fpr_gap,0.1734
logreg,sex,ece_gap,0.0726
logreg,race,dp_diff,0.2647
logreg,race,tpr_gap,0.1667
logreg,race,fpr_gap,0.2456
logreg,race,ece_gap,0.0908
logreg,age_band,dp_diff,0.089
logreg,age_band,tpr_gap,0.1964
logreg,age_band,fpr_gap,0.066
logreg,age_band,ece_gap,0.053
logreg,income_band,dp_diff,0.4798
logreg,income_band,tpr_gap,0.5333
logreg,income_band,fpr_gap,0.4453
logreg,income_band,ece_gap,0.2026
rf,sex,dp_diff,0.0271
rf,sex,tpr_gap,0.0553
rf,sex,fpr_gap,0.0184
rf,sex,ece_gap,0.0082
rf,race,dp_diff,0.0178
rf,race,tpr_gap,0.1382
rf,race,fpr_gap,0.0149
rf,race,ece_gap,0.034
rf,age_band,dp_diff,0.0437
rf,age_band,tpr_gap,0.1914
rf,age_band,fpr_gap,0.0256
rf,age_band,ece_gap,0.0187
rf,income_band,dp_diff,0.0692
rf,income_band,tpr_gap,0.234
rf,income_band,fpr_gap,0.0438
rf,income_band,ece_gap,0.0575
xgb,sex,dp_diff,0.1556
xgb,sex,tpr_gap,0.1792
xgb,sex,fpr_gap,0.1312
xgb,sex,ece_gap,0.0575
xgb,race,dp_diff,0.1828
xgb,race,tpr_gap,0.1277
xgb,race,fpr_gap,0.1616
xgb,race,ece_gap,0.0684
xgb,age_band,dp_diff,0.1442
xgb,age_band,tpr_gap,0.306
xgb,age_band,fpr_gap,0.1113
xgb,age_band,ece_gap,0.0716
xgb,income_band,dp_diff,0.3864
xgb,income_band,tpr_gap,0.4943
xgb,income_band,fpr_gap,0.3434
xgb,income_band,ece_gap,0.1899
